class,support,baseline_keras,baseline_fp32_tflite,dynamic_range,float16,full_int8,full_int8_io
Benign,4618,0.901411,0.901411,0.913758,0.901297,0.025713,0.025713
DDoS-ICMP,42982,0.998768,0.998768,0.166022,0.998768,0.006984,0.006984
DDoS-SYN,21362,0.997256,0.997256,0.506995,0.997256,0.001333,0.001333
DDoS-TCP,22721,0.997540,0.997540,0.994902,0.997540,0.681245,0.681245
DDoS-UDP,44988,0.998665,0.998665,0.267940,0.998654,0.808607,0.808607
DoS-ICMP,12359,0.995040,0.995040,0.003452,0.995040,0.014901,0.014901
DoS-SYN,12210,0.998853,0.998853,0.112436,0.998853,0.001572,0.001572
DoS-TCP,10206,0.996758,0.996758,0.988694,0.996758,0.000587,0.000587
DoS-UDP,17144,0.996220,0.996220,0.438413,0.996191,0.018868,0.018868
MQTT-DDoS-Connect_Flood,5080,0.997638,0.997638,0.996947,0.997638,0.753432,0.753432
MQTT-DDoS-Publish_Flood,1052,0.176471,0.176471,0.178201,0.176471,0.134394,0.134394
MQTT-DoS-Connect_Flood,360,0.967832,0.967832,0.969529,0.967832,0.105505,0.105505
MQTT-DoS-Publish_Flood,1073,0.693005,0.693005,0.693056,0.693005,0.000000,0.000000
MQTT-Malformed_Data,214,0.360153,0.360153,0.358779,0.360153,0.027523,0.027523
Recon-OS_Scan,497,0.000000,0.000000,0.011194,0.000000,0.025914,0.025914
Recon-Ping_Sweep,23,0.160000,0.160000,0.000000,0.160000,0.000000,0.000000
Recon-Port_Scan,2764,0.901298,0.901298,0.887395,0.901298,0.390271,0.390271
Recon-VulScan,127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Spoofing,220,0.354430,0.354430,0.411594,0.353870,0.017467,0.017467
