class,support,baseline_keras,baseline_fp32_tflite,dynamic_range,float16,full_int8,full_int8_io
Benign,4618,0.865484,0.865484,0.859679,0.865457,0.013474,0.013474
DDoS-ICMP,42982,0.998049,0.998049,0.289695,0.998049,0.576336,0.576336
DDoS-SYN,21362,0.999201,0.999201,0.501742,0.999201,0.013055,0.013055
DDoS-TCP,22721,0.995572,0.995572,0.993548,0.995572,0.596222,0.596222
DDoS-UDP,44988,0.999733,0.999733,0.807985,0.999733,0.720471,0.720471
DoS-ICMP,12359,0.999918,0.999918,0.002287,0.999918,0.364341,0.364341
DoS-SYN,12210,0.999099,0.999099,0.114901,0.999099,0.006149,0.006149
DoS-TCP,10206,0.999409,0.999409,0.987775,0.999409,0.250000,0.250000
DoS-UDP,17144,0.993217,0.993217,0.290059,0.993159,0.253012,0.253012
MQTT-DDoS-Connect_Flood,5080,0.997442,0.997442,0.997438,0.997442,0.835531,0.835531
MQTT-DDoS-Publish_Flood,1052,0.980769,0.980769,0.990385,0.980769,0.962025,0.962025
MQTT-DoS-Connect_Flood,360,0.974648,0.974648,0.966851,0.974648,0.302632,0.302632
MQTT-DoS-Publish_Flood,1073,0.531017,0.531017,0.531608,0.531017,0.000000,0.000000
MQTT-Malformed_Data,214,1.000000,1.000000,0.979167,1.000000,0.750000,0.750000
Recon-OS_Scan,497,0.000000,0.000000,0.076923,0.000000,0.015121,0.015121
Recon-Ping_Sweep,23,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000
Recon-Port_Scan,2764,0.853493,0.853493,0.828625,0.853493,0.313570,0.313570
Recon-VulScan,127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Spoofing,220,0.271845,0.271845,0.568000,0.271186,0.222222,0.222222
