class,support,baseline_keras,baseline_fp32_tflite,dynamic_range,float16,full_int8,full_int8_io
Benign,4618,0.940450,0.940450,0.975097,0.940234,0.280641,0.280641
DDoS-ICMP,42982,0.999488,0.999488,0.116351,0.999488,0.003513,0.003513
DDoS-SYN,21362,0.995319,0.995319,0.512358,0.995319,0.000702,0.000702
DDoS-TCP,22721,0.999516,0.999516,0.996259,0.999516,0.794551,0.794551
DDoS-UDP,44988,0.997599,0.997599,0.160598,0.997577,0.921312,0.921312
DoS-ICMP,12359,0.990210,0.990210,0.007039,0.990210,0.007606,0.007606
DoS-SYN,12210,0.998608,0.998608,0.110074,0.998608,0.000901,0.000901
DoS-TCP,10206,0.994121,0.994121,0.989614,0.994121,0.000294,0.000294
DoS-UDP,17144,0.999242,0.999242,0.897399,0.999242,0.009799,0.009799
MQTT-DDoS-Connect_Flood,5080,0.997835,0.997835,0.996457,0.997835,0.686024,0.686024
MQTT-DDoS-Publish_Flood,1052,0.096958,0.096958,0.097909,0.096958,0.072243,0.072243
MQTT-DoS-Connect_Flood,360,0.961111,0.961111,0.972222,0.961111,0.063889,0.063889
MQTT-DoS-Publish_Flood,1073,0.997204,0.997204,0.995340,0.997204,0.000000,0.000000
MQTT-Malformed_Data,214,0.219626,0.219626,0.219626,0.219626,0.014019,0.014019
Recon-OS_Scan,497,0.000000,0.000000,0.006036,0.000000,0.090543,0.090543
Recon-Ping_Sweep,23,0.086957,0.086957,0.000000,0.086957,0.000000,0.000000
Recon-Port_Scan,2764,0.954776,0.954776,0.955137,0.954776,0.516643,0.516643
Recon-VulScan,127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Spoofing,220,0.509091,0.509091,0.322727,0.509091,0.009091,0.009091
